math_score,reading_score,writing_score,placement_score,club_join_year,placement_offer_count
79,,81,75,2018,1
66,78,,40,2022,1
67,,,77,2018,1
62,87,66,100,2021,3
78,85,80,20,2018,3
78,,75,75,2022,1
77,77,,77,2023,1
74,71,65,105,2018,3
,,85,97,2021,3
85,89,82,90,2018,3
81,81,,84,2022,2
76,,81,84,2020,2
77,81,88,90,2018,3
,64,78,93,2023,3
89,,,85,2023,2
69,61,76,89,2019,2
60,,63,89,2022,2
89,64,64,80,2023,2
72,,,99,2021,3
87,62,81,85,2020,2
73,83,89,85,2019,2
76,62,,220,2023,3
71,77,68,76,2018,1
84,,,92,2022,3
62,71,88,82,2023,2
84,67,78,77,2022,1
69,90,,96,2018,3
63,67,90,91,2020,3
72,77,86,97,2019,3
62,85,90,97,2022,3
83,90,87,91,2019,3
70,90,85,100,2019,3
83,65,79,92,2018,3
70,63,71,87,2022,2
74,,79,99,2018,3
63,69,70,79,2020,1
82,70,81,97,2018,3
60,70,,97,2020,3
90,63,85,94,2021,3
64,82,68,140,2021,3
75,79,77,85,2020,2
,67,82,83,2021,2
72,74,,90,2022,3
79,65,78,78,2022,1
69,75,,100,2023,3
69,,66,80,2018,2
79,68,68,170,2022,3
86,68,90,89,2021,2
87,61,84,82,2022,2
65,70,80,88,2020,2
